iter	Passed	Remaining
0	0	575
1	0	492
2	1	449
3	1	417
4	1	396
5	2	382
6	2	373
7	2	368
8	3	362
9	3	362
10	4	364
11	4	362
12	4	357
13	5	358
14	5	355
15	5	352
16	6	349
17	6	347
18	6	344
19	6	342
20	7	341
21	7	339
22	7	339
23	8	341
24	8	342
25	9	341
26	9	340
27	9	339
28	10	337
29	10	336
30	10	335
31	11	334
32	11	333
33	11	331
34	11	330
35	12	329
36	12	328
37	12	327
38	13	326
39	13	326
40	13	325
41	14	324
42	14	323
43	14	324
44	15	324
45	15	323
46	15	323
47	16	322
48	16	322
49	16	322
50	17	322
51	17	321
52	17	320
53	18	319
54	18	319
55	18	318
56	19	317
57	19	317
58	19	316
59	20	315
60	20	314
61	20	315
62	21	316
63	21	316
64	21	315
65	22	315
66	22	315
67	22	313
68	23	313
69	23	313
70	23	313
71	24	313
72	24	312
73	25	313
74	25	313
75	25	312
76	26	313
77	26	312
78	26	312
79	27	312
80	27	312
81	27	311
82	28	311
83	28	311
84	28	309
85	29	308
86	29	307
87	29	306
88	29	306
89	30	306
90	30	305
91	30	305
92	31	304
93	31	304
94	31	304
95	32	303
96	32	303
97	32	303
98	33	302
99	33	302
100	33	302
101	34	300
102	34	299
103	34	299
104	35	299
105	35	298
106	35	297
107	36	297
108	36	296
109	36	297
110	37	296
111	37	296
112	37	296
113	38	296
114	38	296
115	38	295
116	39	295
117	39	294
118	39	293
119	39	293
120	40	292
121	40	292
122	40	291
123	41	290
124	41	290
125	41	290
126	42	290
127	42	289
128	42	288
129	43	288
130	43	288
131	43	288
132	44	287
133	44	287
134	44	287
135	45	286
136	45	286
137	45	285
138	46	285
139	46	284
140	46	284
141	47	284
142	47	283
143	47	283
144	48	283
145	48	283
146	48	282
147	49	282
148	49	282
149	49	282
150	50	281
151	50	281
152	50	281
153	51	280
154	51	280
155	51	280
156	52	280
157	52	279
158	52	279
159	53	278
160	53	278
161	53	277
162	54	277
163	54	277
164	54	276
165	55	276
166	55	276
167	55	275
168	56	275
169	56	275
170	56	274
171	57	274
172	57	274
173	57	273
174	58	273
175	58	273
176	58	272
177	59	272
178	59	272
179	59	271
180	59	270
181	60	269
182	60	269
183	60	269
184	61	268
185	61	268
186	61	268
187	62	268
188	62	267
189	62	267
190	63	266
191	63	266
192	63	266
193	64	266
194	64	265
195	64	265
196	65	265
197	65	264
198	65	264
199	66	264
200	66	264
201	66	264
202	67	263
203	67	263
204	67	263
205	68	262
206	68	262
207	68	261
208	69	261
209	69	261
210	69	260
211	70	260
212	70	259
213	70	259
214	70	259
215	71	258
216	71	258
217	71	257
218	72	257
219	72	257
220	72	256
221	73	256
222	73	255
223	73	255
224	74	255
225	74	254
226	74	254
227	75	254
228	75	253
229	75	253
230	75	252
231	76	252
232	76	252
233	76	251
234	77	251
235	77	251
236	78	251
237	78	251
238	78	250
239	79	250
240	79	250
241	79	250
242	80	249
243	80	249
244	82	252
245	82	252
246	82	252
247	83	252
248	83	252
249	83	251
250	84	251
251	84	251
252	85	250
253	85	250
254	85	250
255	85	249
256	86	249
257	86	249
258	87	249
259	87	249
260	87	249
261	88	248
262	88	248
263	88	247
264	89	247
265	89	247
266	90	247
267	90	247
268	90	247
269	91	247
270	91	247
271	92	246
272	92	246
273	93	246
274	93	246
275	93	245
276	94	245
277	94	245
278	94	244
279	95	245
280	95	244
281	96	244
282	96	244
283	96	244
284	97	244
285	97	243
286	98	243
287	98	243
288	98	243
289	99	242
290	99	242
291	100	242
292	100	242
293	100	241
294	101	241
295	101	241
296	101	240
297	102	240
298	102	240
299	102	239
300	103	239
301	103	239
302	104	239
303	104	238
304	104	238
305	105	238
306	105	238
307	105	237
308	106	237
309	106	237
310	106	236
311	107	236
312	107	236
313	107	235
314	108	235
315	108	235
316	109	234
317	109	234
318	109	234
319	110	233
320	110	233
321	110	233
322	111	232
323	111	232
324	111	231
325	111	231
326	112	231
327	112	230
328	112	230
329	113	230
330	113	229
331	113	229
332	114	228
333	114	228
334	114	228
335	115	227
336	115	227
337	115	226
338	116	226
339	116	226
340	116	225
341	117	225
342	117	224
343	117	224
344	117	224
345	118	223
346	118	223
347	118	222
348	119	222
349	119	221
350	119	221
351	120	221
352	120	221
353	120	220
354	121	220
355	121	219
356	121	219
357	122	219
358	122	218
359	122	218
360	123	218
361	123	217
362	124	217
363	124	217
364	125	217
365	125	217
366	125	217
367	126	216
368	126	216
369	126	216
370	127	215
371	127	215
372	128	215
373	128	214
374	128	214
375	129	214
376	129	214
377	129	213
378	130	213
379	130	213
380	130	212
381	131	212
382	131	212
383	132	211
384	132	211
385	132	211
386	133	210
387	133	210
388	133	210
389	134	209
390	134	209
391	134	209
392	135	208
393	135	208
394	135	208
395	136	207
396	136	207
397	136	207
398	137	206
399	137	206
400	138	206
401	138	205
402	138	205
403	139	205
404	139	205
405	139	204
406	140	204
407	140	204
408	141	203
409	141	203
410	141	203
411	142	202
412	142	202
413	142	202
414	143	202
415	143	201
416	143	201
417	144	200
418	144	200
419	145	200
420	145	199
421	145	199
422	146	199
423	146	199
424	146	198
425	147	198
426	147	198
427	148	197
428	148	197
429	148	197
430	149	196
431	149	196
432	149	196
433	150	195
434	150	195
435	150	195
436	151	194
437	151	194
438	151	194
439	152	193
440	152	193
441	153	193
442	153	193
443	153	192
444	154	192
445	154	191
446	154	191
447	155	191
448	155	191
449	156	191
450	156	190
451	156	190
452	157	190
453	157	189
454	157	189
455	158	188
456	158	188
457	158	188
458	159	187
459	159	187
460	159	186
461	160	186
462	160	186
463	160	185
464	161	185
465	161	185
466	161	184
467	162	184
468	162	184
469	162	183
470	163	183
471	163	182
472	163	182
473	164	182
474	164	181
475	164	181
476	165	181
477	165	180
478	165	180
479	166	179
480	166	179
481	166	179
482	167	179
483	167	178
484	167	178
485	168	177
486	168	177
487	168	177
488	169	176
489	169	176
490	169	176
491	170	175
492	170	175
493	170	175
494	171	174
495	171	174
496	171	173
497	172	173
498	172	173
499	172	172
500	173	172
501	173	172
502	173	171
503	174	171
504	174	171
505	174	170
506	175	170
507	175	169
508	175	169
509	176	169
510	176	168
511	176	168
512	177	168
513	177	167
514	178	167
515	178	167
516	178	166
517	179	166
518	179	166
519	179	165
520	179	165
521	180	165
522	180	164
523	181	164
524	181	164
525	182	164
526	182	163
527	182	163
528	183	162
529	183	162
530	183	162
531	184	161
532	184	161
533	184	161
534	185	160
535	185	160
536	185	160
537	186	159
538	186	159
539	186	159
540	187	158
541	187	158
542	187	157
543	188	157
544	188	157
545	188	156
546	189	156
547	189	156
548	189	155
549	190	155
550	190	155
551	190	154
552	191	154
553	191	154
554	191	153
555	192	153
556	192	152
557	192	152
558	192	152
559	193	151
560	193	151
561	193	151
562	194	150
563	194	150
564	194	150
565	195	149
566	195	149
567	195	149
568	196	148
569	196	148
570	197	148
571	197	147
572	198	147
573	198	147
574	198	146
575	199	146
576	199	146
577	199	145
578	200	145
579	200	145
580	200	144
581	201	144
582	201	144
583	201	143
584	202	143
585	202	143
586	202	142
587	203	142
588	203	142
589	203	141
590	204	141
